Country,Region
Andorra,Global North
United Arab Emirates,Global South
Afghanistan,Global South
Antigua and Barbuda,Global South
Anguilla,Global South
Albania,Global North
Armenia,Global North
Netherlands Antilles,Global South
Angola,Global South
Antarctica,Global South
Argentina,Global South
American Samoa,Global South
Austria,Global North
Australia,Global North
Aruba,Global South
Azerbaijan,Global North
Bosnia and Herzegovina,Global North
Barbados,Global South
Bangladesh,Global South
Belgium,Global North
Burkina Faso,Global South
Bulgaria,Global North
Bahrain,Global South
Burundi,Global South
Benin,Global South
Bermuda,Global South
Brunei Darussalam,Global South
Bolivia,Global South
Brazil,Global South
Bahamas,Global South
Bhutan,Global South
Bouvet Island,Global South
Botswana,Global South
Belarus,Global North
Belize,Global South
Canada,Global North
Cocos (Keeling) Islands,Global South
"Congo, The Democratic Republic of the",Global South
Central African Republic,Global South
Congo,Global South
Switzerland,Global North
C̫te D'Ivoire,Global South
Cook Islands,Global South
Chile,Global South
Cameroon,Global South
China,Global South
Colombia,Global South
Costa Rica,Global South
Cuba,Global South
Cape Verde,Global South
Christmas Island,Global South
Cyprus,Global North
Czech Republic,Global North
Germany,Global North
Djibouti,Global South
Denmark,Global North
Dominica,Global South
Dominican Republic,Global South
Algeria,Global South
Ecuador,Global South
Estonia,Global North
Egypt,Global South
Western Sahara,Global South
Eritrea,Global South
Spain,Global North
Ethiopia,Global South
Finland,Global North
Fiji,Global South
Falkland Islands (Malvinas),Global South
"Micronesia, Federated States of",Global South
Faroe Islands,Global North
France,Global North
"France, Metropolitan",Global North
Gabon,Global South
the United Kingdom of Great Britain and Northern Ireland,Global North
Grenada,Global South
Georgia,Global North
French Guiana,Global South
Ghana,Global South
Gibraltar,Global North
Greenland,Global North
Gambia,Global South
Guinea,Global South
Guadeloupe,Global South
Equatorial Guinea,Global South
Greece,Global North
South Georgia and the South Sandwich Islands,Global South
Guatemala,Global South
Guam,Global South
Guinea-Bissau,Global South
Guyana,Global South
"Hong Kong, China",Global South
Heard Island and McDonald Islands,Global South
Honduras,Global South
Croatia,Global North
Haiti,Global South
Hungary,Global North
Indonesia,Global South
Ireland,Global North
Israel,Global North
India,Global South
British Indian Ocean Territory,Global South
Iraq,Global South
Iran (Islamic Republic of),Global South
Iceland,Global North
Italy,Global North
Jamaica,Global South
Jordan,Global South
Japan,Global North
Kenya,Global South
Kyrgyzstan,Global South
Cambodia,Global South
Kiribati,Global South
Comoros,Global South
Saint Kitts and Nevis,Global South
Republic of Korea,Global South
"Korea, Republic of",Global North
Kuwait,Global South
Cayman Islands,Global South
Kazakhstan,Global North
Lao People's Democratic Republic,Global South
Lebanon,Global South
Saint Lucia,Global South
Liechtenstein,Global North
Sri Lanka,Global South
Liberia,Global South
Lesotho,Global South
Lithuania,Global North
Luxembourg,Global North
Latvia,Global North
Libya,Global South
Morocco,Global South
Monaco,Global North
"Moldova, Republic of",Global North
Madagascar,Global South
Marshall Islands,Global South
Macedonia,Global North
Mali,Global South
Myanmar,Global South
Mongolia,Global South
Macau,Global South
Northern Mariana Islands,Global South
Martinique,Global South
Mauritania,Global South
Montserrat,Global South
Malta,Global North
Mauritius,Global South
Maldives,Global South
Malawi,Global South
Mexico,Global South
Malaysia,Global South
Mozambique,Global South
Namibia,Global South
New Caledonia,Global South
Niger,Global South
Norfolk Island,Global South
Nigeria,Global South
Nicaragua,Global South
Netherlands,Global North
Norway,Global North
Nepal,Global South
Nauru,Global South
Niue,Global South
New Zealand,Global North
Oman,Global South
Panama,Global South
Peru,Global South
French Polynesia,Global South
Papua New Guinea,Global South
Philippines,Global South
Pakistan,Global South
Poland,Global North
Saint Pierre and Miquelon,Global North
Pitcairn Islands,Global South
Puerto Rico,Global South
Palestinian Territory,Global South
Portugal,Global North
Palau,Global South
Paraguay,Global South
Qatar,Global South
Reunion,Global South
Romania,Global North
Russian Federation,Global North
Rwanda,Global South
Saudi Arabia,Global South
Solomon Islands,Global South
Seychelles,Global South
South Sudan,Global South
Sudan,Global South
Sweden,Global North
Singapore,Global North
Saint Helena,Global South
Slovenia,Global North
Svalbard and Jan Mayen,Global North
Slovakia,Global North
Sierra Leone,Global South
San Marino,Global North
Senegal,Global South
Somalia,Global South
Suriname,Global South
Sao Tome and Principe,Global South
El Salvador,Global South
Syrian Arab Republic,Global South
Eswatini,Global South
Turks and Caicos Islands,Global South
Chad,Global South
French Southern Territories,Global South
Togo,Global South
Thailand,Global South
Tajikistan,Global South
Tokelau,Global South
Turkmenistan,Global South
Tunisia,Global South
Tonga,Global South
Timor-Leste,Global South
Turkey,Global North
Trinidad and Tobago,Global South
Tuvalu,Global South
Taiwan,Global North
United Republic of Tanzania,Global South
Ukraine,Global North
Uganda,Global South
United States Minor Outlying Islands,Global South
United States of America,Global North
Uruguay,Global South
Uzbekistan,Global South
Holy See (Vatican City State),Global North
Saint Vincent and the Grenadines,Global South
Venezuela,Global South
"Virgin Islands, British",Global South
"Virgin Islands, U.S.",Global South
Viet Nam,Global South
Vanuatu,Global South
Wallis and Futuna,Global South
Samoa,Global South
Yemen,Global South
Mayotte,Global South
Serbia,Global North
South Africa,Global South
Zambia,Global South
Montenegro,Global North
Zimbabwe,Global South
Aland Islands,Global North
Guernsey,Global North
Isle of Man,Global North
Jersey,Global North
Saint Barthelemy,Global South
Saint Martin,Global South
